id,sourcePort,destinationPort,distance
520,Godau port  (GDP),Danang (DAD),516
521,Godau port  (GDP),Dumai (DMI),810
522,Godau port  (GDP),Dung Quat (DQT),428
523,Godau port  (GDP),Futong (FTG),780
524,Godau port  (GDP),HO CHI MINH (HCM),58
525,Godau port  (GDP),Hon Gai (HON),815
526,Godau port  (GDP),Haiphong (HPH),798
527,Godau port  (GDP),Khanom (KHM),572
528,Godau port  (GDP),Kedah (KKH),1038
529,Godau port  (GDP),Ko Sichang (KSI),620
530,Godau port  (GDP),Kuantan (KT),485
531,Godau port  (GDP),Kuching (KUC),595
532,Godau port  (GDP),KUM,1130
533,Godau port  (GDP),Labuan (LBN),605
534,Godau port  (GDP),Laem Chabang (LCB),650
535,Godau port  (GDP),Lahad Datu (LDU),1150
536,Godau port  (GDP),Lhokseumawe (LHOK),1180
537,Godau port  (GDP),Lumut (LUM),930
538,Godau port  (GDP),Maptaphut (MAT),580
539,Godau port  (GDP),Manila Habour (MNL),970
540,Godau port  (GDP),My Tho (MUT),90
